1,홍길동,25,26,45,96,32,0
2,유관순,48,54,2,104,34.6666666667,0
3,이순신,5,13,24,42,14,0
4,강감찬,67,75,4,146,48.6666666667,0
5,김구,25,97,58,180,60,0
6,김유신,57,37,24,118,39.3333333333,0
7,홍길자,47,38,70,155,51.6666666667,0
8,홍길순,76,35,63,174,58,0
9,길동스,2,44,90,136,45.3333333333,0
10,관순스,7,82,54,143,47.6666666667,0
11,순신스,76,73,48,197,65.6666666667,0
12,Tadeo,47,83,29,159,53,0
13,Thibaut,23,94,71,188,62.6666666667,0
14,Benton,28,94,44,166,55.3333333333,0
15,Shea,44,7,53,104,34.6666666667,0
16,Alfie,61,97,10,168,56,0
17,Johnath,90,53,95,238,79.3333333333,0
18,Keslie,27,68,95,190,63.3333333333,0
19,Hunfredo,6,84,28,118,39.3333333333,0
20,Rivkah,13,23,8,44,14.6666666667,0
21,Silas,90,41,82,213,71,0
22,Kaela,29,44,93,166,55.3333333333,0
23,Ameline,45,39,14,98,32.6666666667,0
24,Katrinka,21,95,41,157,52.3333333333,0
25,Samson,31,72,100,203,67.6666666667,0
26,Billie,13,26,62,101,33.6666666667,0
27,Archy,49,39,11,99,33,0
28,Avivah,75,51,40,166,55.3333333333,0
29,Leeann,90,55,47,192,64,0
30,Roda,85,44,73,202,67.3333333333,0
31,Sadye,10,83,43,136,45.3333333333,0
32,Aloysius,47,95,90,232,77.3333333333,0
33,Zackariah,53,51,35,139,46.3333333333,0
34,Simone,53,56,77,186,62,0
35,Glen,89,94,67,250,83.3333333333,0
36,Kahlil,30,58,5,93,31,0
37,Desiree,5,37,38,80,26.6666666667,0
38,Bobbye,82,14,36,132,44,0
39,Dredi,86,88,68,242,80.6666666667,0
40,Putnam,78,63,80,221,73.6666666667,0
41,Desmond,37,78,60,175,58.3333333333,0
42,Stevena,98,73,91,262,87.3333333333,0
43,Guglielma,99,29,14,142,47.3333333333,0
44,Meredith,76,91,12,179,59.6666666667,0
45,Tripp,57,13,97,167,55.6666666667,0
46,Dorree,26,10,17,53,17.6666666667,0
47,Colin,32,100,54,186,62,0
48,Wylma,64,24,61,149,49.6666666667,0
49,Jammie,67,72,83,222,74,0
50,Nanette,65,72,88,225,75,0
